x,y,vx,vy,rho,e,P
0.7625,0.0665735,1.86518e-05,-0.00227871,12.87,1.79501,15.4011
0.7875,0.0665735,1.86972e-05,-0.00227867,12.87,1.79501,15.4011
0.8125,0.0665735,1.81107e-05,-0.00227855,12.87,1.79501,15.4012
0.8375,0.0665735,1.59458e-05,-0.00227877,12.8701,1.79501,15.4012
0.8625,0.0665735,9.94282e-06,-0.00228013,12.8701,1.79501,15.4013
0.8875,0.0665733,-6.38973e-06,-0.00228649,12.8699,1.79501,15.401
0.9125,0.066572,-3.22809e-06,-0.00233507,12.8676,1.795,15.3982
0.937509,0.0665679,0.000366816,-0.00250839,12.8644,1.79499,15.3944
0.962534,0.066567,0.00133012,-0.00255415,12.862,1.795,15.3915
0.987595,0.0665874,0.00574377,-0.00131141,13.1958,1.79554,15.7957
1.01089,0.0669714,-0.0733668,0.0205755,11.397,1.79389,13.6299
0.0016846,0.0890463,0.078654,0.0113488,12.4553,1.79367,14.8937
0.0246293,0.0887045,-0.0223623,-0.00614068,14.6052,1.79574,17.4847
0.0500671,0.0888347,0.00445646,0.00103982,12.4985,1.79498,14.9563
0.0749703,0.0888197,-0.00169173,-4.86865e-05,12.8481,1.79499,15.3747
0.1,0.0888256,0.000122189,0.000268681,12.749,1.79498,15.2561
0.125001,0.0888261,1.50663e-05,0.000279582,12.7705,1.79498,15.2819
0.15,0.0888258,1.68196e-05,0.000265937,12.768,1.79499,15.2789
0.175,0.0888255,-6.39224e-06,0.000253853,12.7681,1.79499,15.2791
0.2,0.0888254,-6.57208e-06,0.000249263,12.768,1.79499,15.2789
0.225,0.0888254,-4.53966e-06,0.000248403,12.768,1.79499,15.2789
0.25,0.0888254,-3.79273e-06,0.000248645,12.768,1.79499,15.2789
0.275,0.0888254,-3.70306e-06,0.000249063,12.768,1.79499,15.2789
0.3,0.0888254,-3.69347e-06,0.000249378,12.768,1.79499,15.2789
0.325,0.0888254,-3.69009e-06,0.000249535,12.768,1.79499,15.2789
0.35,0.0888254,-3.70006e-06,0.000249575,12.768,1.79499,15.2789
0.375,0.0888254,-3.7156e-06,0.000249559,12.768,1.79499,15.2789
0.4,0.0888254,-3.72603e-06,0.000249529,12.768,1.79499,15.2789
0.425,0.0888254,-3.72932e-06,0.000249504,12.768,1.79499,15.2789
0.45,0.0888254,-3.72774e-06,0.000249491,12.768,1.79499,15.2789
0.475,0.0888254,-3.72444e-06,0.000249487,12.768,1.79499,15.2789
0.5,0.0888254,-3.72405e-06,0.000249489,12.768,1.79499,15.2789
0.525,0.0888254,-3.72387e-06,0.00024949,12.768,1.79499,15.2789
0.55,0.0888254,-3.72233e-06,0.000249493,12.768,1.79499,15.2789
0.575,0.0888254,-3.7209e-06,0.0002495,12.768,1.79499,15.2789
0.6,0.0888254,-3.72058e-06,0.000249509,12.768,1.79499,15.2789
0.625,0.0888254,-3.72205e-06,0.000249517,12.768,1.79499,15.2789
0.65,0.0888254,-3.72464e-06,0.00024952,12.768,1.79499,15.2789
0.675,0.0888254,-3.72468e-06,0.000249519,12.768,1.79499,15.2789
0.7,0.0888254,-3.72671e-06,0.000249518,12.768,1.79499,15.2789
0.725,0.0888254,-3.73092e-06,0.00024952,12.768,1.79499,15.2789
0.75,0.0888254,-3.71599e-06,0.000249528,12.768,1.79499,15.2789
0.775,0.0888254,-3.61683e-06,0.000249575,12.768,1.79499,15.2789
0.8,0.0888254,-3.34703e-06,0.000249822,12.768,1.79499,15.2789
0.825,0.0888254,-2.83463e-06,0.000250694,12.768,1.79499,15.2789
0.85,0.0888255,-2.66406e-06,0.000253038,12.768,1.79499,15.2789
0.875,0.0888256,-1.10606e-05,0.00025722,12.7682,1.79499,15.2792
0.899999,0.0888255,-5.29783e-05,0.000250892,12.7682,1.79499,15.2791
0.925,0.0888235,-1.97715e-05,0.000173934,12.7644,1.79498,15.2745
0.950017,0.088819,0.000682523,-6.47617e-06,12.7576,1.79497,15.2664
0.975053,0.0888161,0.00235364,-8.64226e-05,12.8027,1.7951,15.3215
0.999687,0.0884086,-0.0114046,-0.0239692,14.4373,1.79552,17.2816
0.0129569,0.110886,0.0190332,-0.00731937,12.948,1.79544,15.4982
0.0374359,0.111057,-0.00250204,0.00167831,12.7415,1.79514,15.2485
0.0624862,0.111018,-0.00077743,-0.000707991,12.8518,1.79499,15.3793
0.0874955,0.111031,-8.33812e-05,0.000121855,12.7787,1.79499,15.2918
0.1125,0.11103,-3.11802e-05,1.30374e-05,12.8046,1.795,15.3228
0.137501,0.11103,2.47265e-05,2.09822e-05,12.8,1.795,15.3173
0.1625,0.11103,-2.53405e-06,1.12427e-05,12.8008,1.795,15.3182
0.1875,0.11103,-4.3819e-06,1.18865e-05,12.8005,1.795,15.3179
0.2125,0.11103,-2.24268e-06,1.33761e-05,12.8005,1.795,15.3179
0.2375,0.11103,-1.40518e-06,1.4136e-05,12.8005,1.795,15.318
0.2625,0.11103,-1.46183e-06,1.43224e-05,12.8005,1.795,15.318
0.2875,0.11103,-1.56106e-06,1.43137e-05,12.8005,1.795,15.318
0.3125,0.11103,-1.59093e-06,1.42627e-05,12.8005,1.795,15.318
0.3375,0.11103,-1.60097e-06,1.4216e-05,12.8005,1.795,15.318
0.3625,0.11103,-1.61282e-06,1.4182e-05,12.8005,1.795,15.318
0.3875,0.11103,-1.42604e-06,1.45229e-05,12.8006,1.795,15.318
0.4125,0.11103,-1.31756e-06,1.5189e-05,12.8006,1.795,15.3181
0.4375,0.11103,-1.38651e-06,1.59115e-05,12.8007,1.795,15.3182
0.4625,0.11103,-1.69417e-06,1.63631e-05,12.8008,1.795,15.3182
0.4875,0.11103,-1.61279e-06,1.63274e-05,12.8007,1.795,15.3182
0.5125,0.11103,-1.60803e-06,1.63061e-05,12.8007,1.795,15.3182
0.5375,0.11103,-1.60737e-06,1.63065e-05,12.8007,1.795,15.3182
0.5625,0.11103,-1.79217e-06,1.59574e-05,12.8007,1.795,15.3182
0.5875,0.11103,-1.8935e-06,1.52923e-05,12.8006,1.795,15.3181
0.6125,0.11103,-1.86149e-06,1.4554e-05,12.8006,1.795,15.318
