x,vx,rho,e,P
0.721557,1.438,2.63519,1.72269,1.81585
0.722274,1.43691,2.63256,1.7242,1.81562
0.722989,1.43877,2.6316,1.72653,1.81741
0.723704,1.43601,2.6243,1.72738,1.81327
0.724424,1.43754,2.62617,1.72851,1.81575
0.725139,1.43927,2.62793,1.72773,1.81614
0.725856,1.43315,2.62583,1.72385,1.81061
0.726574,1.43899,2.63562,1.72199,1.8154
0.727285,1.43905,2.63095,1.71867,1.8087
0.728005,1.43087,2.63098,1.71693,1.80688
0.728719,1.44123,2.64457,1.71846,1.81784
0.729427,1.43487,2.62702,1.71423,1.80133
0.730153,1.43229,2.63458,1.7133,1.80553
0.730859,1.44446,2.64863,1.71444,1.81636
0.73157,1.42344,2.6225,1.70696,1.7906
0.7323,1.43898,2.64391,1.70863,1.80699
0.732996,1.4474,2.63568,1.70729,1.79995
0.733723,1.40651,2.61455,1.70105,1.77899
0.734446,1.44992,2.66374,1.70911,1.82106
0.735132,1.44553,2.59997,1.69836,1.76628
0.735892,1.39369,2.60304,1.6952,1.76508
0.736595,1.46363,2.68891,1.71128,1.8406
0.737275,1.41974,2.56481,1.6812,1.7248
0.738081,1.39665,2.64673,1.64784,1.74456
0.738768,1.45381,2.51983,1.53161,1.54485
0.739615,1.17767,1.73733,1.20054,0.837876
0.74134,0.444555,0.923318,0.744801,0.277037
0.744034,0.0554975,0.645727,0.526774,0.136106
0.747005,0.00459607,0.622344,0.502798,0.125165
0.750001,0.0011879,0.628555,0.500295,0.125785
0.753,0.000278863,0.628376,0.500052,0.125688
0.756,-2.58494e-05,0.627669,0.500008,0.125536
0.759,-5.62199e-06,0.627719,0.5,0.125544
0.762,5.15003e-06,0.627771,0.5,0.125554
0.765,5.88122e-07,0.627762,0.5,0.125552
0.768,-3.53236e-07,0.627759,0.5,0.125552
0.771,2.55204e-08,0.62776,0.5,0.125552
0.774,3.77022e-08,0.62776,0.5,0.125552
0.777,-1.95607e-09,0.62776,0.5,0.125552
0.78,-2.04402e-09,0.62776,0.5,0.125552
0.783,6.24227e-10,0.62776,0.5,0.125552
0.786,1.9679e-10,0.62776,0.5,0.125552
0.789,-4.73351e-11,0.62776,0.5,0.125552
0.792,-5.2156e-12,0.62776,0.5,0.125552
0.795,6.14745e-12,0.62776,0.5,0.125552
0.798,4.79402e-13,0.62776,0.5,0.125552
0.801,-4.23286e-13,0.62776,0.5,0.125552
0.804,3.34237e-14,0.62776,0.5,0.125552
0.807,5.85808e-14,0.62776,0.5,0.125552
0.81,-7.39927e-16,0.62776,0.5,0.125552
0.813,-1.06327e-14,0.62776,0.5,0.125552
0.816,-2.33153e-14,0.62776,0.5,0.125552
0.819,-2.22134e-14,0.62776,0.5,0.125552
0.822,3.86395e-15,0.62776,0.5,0.125552
0.825,1.57246e-14,0.62776,0.5,0.125552
0.828,6.68325e-15,0.62776,0.5,0.125552
0.831,2.1092e-15,0.62776,0.5,0.125552
0.834,-1.71167e-15,0.62776,0.5,0.125552
0.837,-1.89733e-14,0.62776,0.5,0.125552
0.84,1.02905e-14,0.62776,0.5,0.125552
0.843,3.98526e-15,0.62776,0.5,0.125552
0.846,-3.91768e-15,0.62776,0.5,0.125552
0.849,-6.00668e-15,0.62776,0.5,0.125552
0.852,2.82356e-14,0.62776,0.5,0.125552
0.855,8.45087e-15,0.62776,0.5,0.125552
0.858,-3.90369e-15,0.62776,0.5,0.125552
0.861,-1.94171e-14,0.62776,0.5,0.125552
0.864,-1.72592e-14,0.62776,0.5,0.125552
0.867,6.80004e-15,0.62776,0.5,0.125552
0.87,2.0175e-14,0.62776,0.5,0.125552
0.873,1.08398e-14,0.62776,0.5,0.125552
0.876,2.71953e-15,0.62776,0.5,0.125552
0.879,-3.9726e-15,0.62776,0.5,0.125552
0.882,-2.56991e-14,0.62776,0.5,0.125552
0.885,-1.27659e-14,0.62776,0.5,0.125552
0.888,2.47401e-14,0.62776,0.5,0.125552
0.891,5.45941e-15,0.62776,0.5,0.125552
0.894,-2.69651e-15,0.62776,0.5,0.125552
0.897,-5.98588e-15,0.62776,0.5,0.125552
0.9,2.488e-14,0.62776,0.5,0.125552
0.903,5.1262e-15,0.62776,0.5,0.125552
0.906,-6.93075e-15,0.62776,0.5,0.125552
0.909,-2.22073e-14,0.62776,0.5,0.125552
0.912,-1.87969e-14,0.62776,0.5,0.125552
0.915,6.93845e-15,0.62776,0.5,0.125552
0.918,2.00275e-14,0.62776,0.5,0.125552
0.921,1.0476e-14,0.62776,0.5,0.125552
0.924,2.44974e-15,0.62776,0.5,0.125552
0.927,-4.3278e-15,0.62776,0.5,0.125552
0.93,-2.60374e-14,0.62776,0.5,0.125552
0.933,-1.28558e-14,0.62776,0.5,0.125552
0.936,2.28415e-14,0.62776,0.5,0.125552
0.939,2.28269e-15,0.62776,0.5,0.125552
0.942,-6.24249e-15,0.62776,0.5,0.125552
0.945,-9.37324e-15,0.62776,0.5,0.125552
