x,y,z,vx,vy,vz,rho,P
0.00749378,-5.52716e-15,-0.186003,0.171069,5.52899e-15,0.0906915,13663.6,1.86695e+07
-0.193227,1.00744e-14,-0.0201516,0.283828,-3.06353e-14,0.0152491,14154,2.00337e+07
-0.180522,2.87933e-15,0.0705157,0.24711,7.4119e-15,-0.487194,13921.7,1.93813e+07
0.00445679,0.167025,0.0709375,-0.0143912,-0.156262,-0.284408,13653.9,1.8643e+07
-0.00831378,-0.0124456,0.0220709,-0.0844103,-0.0995383,0.0994887,20478.4,4.19366e+07
0.0101672,0.124834,-0.141825,0.0231683,-0.198783,0.254273,15260.9,2.32894e+07
0.0143824,-0.0692842,-0.0561785,-0.0646709,0.152283,0.214172,19549.7,3.82189e+07
-0.149191,0.0792844,-0.0131295,0.286028,-0.268189,0.0201102,14382.8,2.06865e+07
-0.0520604,0.10848,0.141066,-0.130165,-0.0191698,-0.160063,13924.9,1.93901e+07
0.0612433,-0.115111,-0.00896949,-0.147243,0.345234,0.13596,17866.7,3.19218e+07
0.0477999,0.00792928,-0.048433,0.0827976,-0.024878,0.0428138,19695.5,3.87912e+07
-0.181518,-0.0804395,0.00632586,0.241657,0.245217,0.0405907,16935.3,2.86805e+07
0.0184639,0.119114,0.0828547,-0.0255224,-0.185519,-0.362784,14020,1.9656e+07
