x,vx,rho,e,P
0.350625,4.02451e-15,1.00442,2.5,1.00442
0.3525,-6.82157e-15,1.00442,2.5,1.00442
0.354375,-1.7997e-14,1.00442,2.5,1.00442
0.35625,-2.81901e-14,1.00442,2.5,1.00442
0.358125,2.7714e-14,1.00442,2.5,1.00442
0.36,1.20899e-15,1.00442,2.5,1.00442
0.361875,-2.6278e-14,1.00442,2.5,1.00442
0.36375,2.83375e-14,1.00442,2.5,1.00442
0.365625,1.92838e-14,1.00442,2.5,1.00442
0.3675,7.13101e-15,1.00442,2.5,1.00442
0.369375,-4.8562e-15,1.00442,2.5,1.00442
0.37125,5.35163e-14,1.00442,2.5,1.00442
0.373125,2.81517e-14,1.00442,2.5,1.00442
0.375,2.94804e-15,1.00442,2.5,1.00442
0.376875,5.41995e-14,1.00442,2.5,1.00442
0.37875,3.80876e-14,1.00442,2.5,1.00442
0.380625,2.00643e-14,1.00442,2.5,1.00442
0.3825,3.8348e-15,1.00442,2.5,1.00442
0.384375,-5.19265e-15,1.00442,2.5,1.00442
0.38625,-2.15231e-14,1.00442,2.5,1.00442
0.388125,-3.97112e-14,1.00442,2.5,1.00442
0.39,-5.59421e-14,1.00442,2.5,1.00442
0.391875,-1.69145e-15,1.00442,2.5,1.00442
0.39375,-2.65661e-14,1.00442,2.5,1.00442
0.395625,-5.27457e-14,1.00442,2.5,1.00442
0.3975,3.97193e-15,1.00442,2.5,1.00442
0.399375,-6.87734e-15,1.00442,2.5,1.00442
0.40125,-1.8051e-14,1.00442,2.5,1.00442
0.403125,-2.82437e-14,1.00442,2.5,1.00442
0.405,2.75481e-14,1.00442,2.5,1.00442
0.406875,1.04272e-15,1.00442,2.5,1.00442
0.40875,-2.64436e-14,1.00442,2.5,1.00442
0.410625,1.12045e-14,1.00442,2.5,1.00442
0.4125,1.33618e-15,1.00442,2.5,1.00442
0.414375,-1.14515e-14,1.00442,2.5,1.00442
0.41625,-2.21373e-14,1.00442,2.5,1.00442
0.418125,3.39053e-14,1.00442,2.5,1.00442
0.42,7.00453e-15,1.00442,2.5,1.00442
0.421875,-2.02828e-14,1.00442,2.5,1.00442
0.42375,-9.37916e-17,1.00442,2.5,1.00442
0.425625,-2.04366e-14,1.00442,2.5,1.00442
0.4275,-3.37856e-14,1.00442,2.5,1.00442
0.429375,-3.07655e-13,1.00442,2.5,1.00442
0.43125,-1.17556e-12,1.00442,2.5,1.00442
0.433125,-2.87593e-12,1.00442,2.5,1.00442
0.435,-6.70602e-12,1.00442,2.5,1.00442
0.436875,-1.57423e-11,1.00442,2.5,1.00442
0.43875,-3.65098e-11,1.00442,2.5,1.00442
0.440625,-8.36379e-11,1.00442,2.5,1.00442
0.4425,-1.89407e-10,1.00442,2.5,1.00442
0.444375,-4.23643e-10,1.00442,2.5,1.00442
0.44625,-9.36145e-10,1.00442,2.5,1.00442
0.448125,-2.04231e-09,1.00442,2.5,1.00442
0.45,-4.39645e-09,1.00442,2.5,1.00442
0.451875,-9.33538e-09,1.00442,2.5,1.00442
0.45375,-1.95446e-08,1.00442,2.5,1.00442
0.455625,-4.03248e-08,1.00442,2.5,1.00442
0.4575,-8.19506e-08,1.00442,2.5,1.00442
0.459375,-1.63959e-07,1.00442,2.5,1.00442
0.46125,-3.22762e-07,1.00442,2.5,1.00442
0.463125,-6.24789e-07,1.00442,2.5,1.00442
0.465,-1.18856e-06,1.00442,2.5,1.00442
0.466875,-2.22054e-06,1.00442,2.5,1.00442
0.46875,-4.07143e-06,1.00442,2.5,1.00442
0.470625,-7.32093e-06,1.00442,2.50001,1.00442
0.4725,-1.28998e-05,1.00442,2.50001,1.00443
0.474375,-2.22558e-05,1.00443,2.50002,1.00444
0.47625,-3.75639e-05,1.00444,2.50003,1.00445
0.478125,-6.19688e-05,1.00446,2.50005,1.00448
0.48,-9.98231e-05,1.00449,2.50008,1.00452
0.481875,-0.000156857,1.00453,2.50012,1.00458
0.483749,-0.000240173,1.00459,2.50019,1.00467
0.485624,-0.00035793,1.00469,2.50028,1.0048
0.487498,-0.000518564,1.00481,2.50041,1.00497
0.489372,-0.000729439,1.00498,2.50058,1.00521
0.491246,-0.000994923,1.00519,2.50079,1.0055
0.493119,-0.00131405,1.00544,2.50104,1.00586
0.494992,-0.00167797,1.00574,2.50134,1.00628
0.496865,-0.00206743,1.00607,2.50166,1.00674
0.498736,-0.00245444,1.0064,2.50198,1.0072
0.500607,-0.00281656,1.00671,2.5023,1.00764
0.502478,-0.00313571,1.00703,2.50256,1.00807
0.504347,-0.00334957,1.00729,2.50257,1.00833
0.506218,-0.00278517,1.00684,2.50161,1.00749
0.50809,0.000565986,1.00391,2.49815,1.00317
0.509972,0.00897851,0.996725,2.49076,0.993041
0.511872,0.0235778,0.984886,2.47908,0.976643
0.513799,0.0417412,0.969458,2.46388,0.955453
0.515759,0.062775,0.952761,2.44706,0.932587
0.517753,0.0836336,0.935612,2.42937,0.90918
0.519786,0.105061,0.918698,2.4116,0.886211
0.521853,0.126959,0.901788,2.39354,0.863386
0.523963,0.148586,0.884688,2.37518,0.840515
0.526111,0.171943,0.867631,2.35656,0.817849
0.528305,0.194247,0.850272,2.33748,0.794998
0.530543,0.218866,0.832983,2.31817,0.772399
0.532828,0.242082,0.815422,2.29837,0.749658
0.535163,0.267899,0.79792,2.27834,0.727174
0.537549,0.292197,0.780227,2.25785,0.704655
0.539992,0.319068,0.762549,2.23709,0.682357
0.54249,0.34441,0.744808,2.21596,0.660185
0.545051,0.372535,0.72706,2.19451,0.638216
0.547672,0.398749,0.709222,2.17265,0.616357
0.550364,0.428374,0.691439,2.1505,0.594775
0.553121,0.455524,0.673556,2.12793,0.573311
0.555958,0.486546,0.655762,2.10506,0.552167
0.558866,0.514678,0.637971,2.08189,0.531273
0.561865,0.546891,0.6203,2.05844,0.51074
0.56494,0.575803,0.602802,2.03496,0.49067
0.568116,0.608486,0.585598,2.01156,0.471186
0.571372,0.63686,0.56928,1.9894,0.453009
0.57473,0.665679,0.554687,1.96962,0.43701
0.578157,0.684754,0.544242,1.95535,0.425673
0.58164,0.695448,0.539255,1.94791,0.420169
0.585134,0.692539,0.539664,1.94719,0.420331
0.588614,0.68955,0.541524,1.94908,0.422189
0.592089,0.686276,0.543099,1.95109,0.423855
0.59555,0.68398,0.544507,1.95318,0.425408
0.599006,0.681593,0.545739,1.95478,0.426719
0.602452,0.67986,0.546811,1.95655,0.427945
0.605895,0.67894,0.547401,1.95664,0.428426
0.609334,0.677975,0.547805,1.95869,0.429192
0.612771,0.677613,0.548167,1.95691,0.429086
0.616204,0.67704,0.548339,1.96002,0.429903
