x,y,z,vx,vy,vz,rho,e,P
-0.431927,-0.0857297,-0.171429,0.000771122,-0.000608135,-8.49864e-06,12.2728,2.5,12.2728
-0.408146,-0.0857058,-0.171448,-0.00146919,-0.000100183,-9.55059e-05,2.02138,2.5,2.02138
-0.384064,-0.0857811,-0.171421,-0.000157878,-0.000446379,0.000444801,11.6936,2.5,11.6936
-0.359822,-0.0857312,-0.171439,0.0010854,-0.000472804,-9.44177e-05,89.3677,2.5,89.3677
-0.336109,-0.0857714,-0.171514,-0.00116605,-0.000331309,-0.00104118,0.28622,2.5,0.28622
-0.312014,-0.0857085,-0.171498,-0.000175355,0.000208983,-0.00111776,70.0989,2.5,70.0989
-0.287892,-0.0858869,-0.171451,0.0012702,-0.00360414,-0.000486905,5.55159,2.5,5.55159
-0.264009,-0.0857206,-0.171411,-0.00012281,-0.000430576,-1.79673e-06,12.0683,2.5,12.0683
-0.2402,-0.0856778,-0.171417,-0.00288644,0.000516916,0.000426248,12.5821,2.5,12.5821
-0.216012,-0.0856972,-0.171457,0.00043436,0.000475946,-0.000432948,6.88214,2.5,6.88213
-0.191815,-0.0857004,-0.171452,0.000821483,0.000103266,-0.000473807,5.7934,2.5,5.7934
-0.167992,-0.0856848,-0.171535,0.00137568,0.0011547,-0.00422579,2.8754,2.5,2.8754
-0.144089,-0.0857145,-0.171511,-0.00129412,-8.33599e-06,-0.00103082,1.32339,2.5,1.32339
-0.119946,-0.0856535,-0.17155,-0.0002235,0.000764143,-0.00168275,2.98202,2.5,2.98202
-0.0960317,-0.0856434,-0.171391,-0.000186021,0.00123047,-0.0013054,6.40622,2.5,6.40622
-0.0721192,-0.0856708,-0.171459,-4.88758e-05,0.000899541,5.45876e-05,33.6648,2.5,33.6648
-0.0480588,-0.0857436,-0.171421,-0.000725596,0.000113662,0.000107066,1.52805,2.5,1.52805
-0.0238231,-0.085696,-0.171509,0.000842657,0.000174967,-0.00234947,1.63326,2.5,1.63326
2.24615e-05,-0.0857142,-0.171433,0.000923707,5.57434e-07,-0.00115687,77.8315,1.795,55.8831
0.119981,-0.0856899,-0.17142,-0.00024565,-0.0012479,6.20592e-05,145.732,1.795,104.636
0.239976,-0.0859046,-0.171511,-0.000307755,-0.00257065,-0.00192058,150.613,1.795,108.14
0.35998,-0.085848,-0.171428,-0.00023779,-0.00162609,-0.00037389,8.3895,1.795,6.02366
0.479984,-0.0858025,-0.171513,-0.000179818,-0.00101105,-0.00180848,1.23222,1.795,0.884734
