x,vx,rho,e,P
0.392417,0.136679,1,2.38457,1
0.394527,0.146109,1,2.37676,1
0.396655,0.155601,1,2.36893,1
0.3988,0.165139,1,2.36108,1
0.400963,0.174709,1,2.35322,1
0.403143,0.18434,1,2.34534,1
0.405342,0.193974,1,2.33746,1
0.40756,0.203672,1,2.32957,1
0.409796,0.213367,1,2.32168,1
0.412051,0.223096,1,2.3138,1
0.414325,0.232851,1,2.30592,1
0.416619,0.242585,1,2.29804,1
0.418932,0.252379,1,2.29019,1
0.421265,0.262116,1,2.28233,1
0.423618,0.271905,1,2.27451,1
0.425991,0.281658,1,2.2667,1
0.428384,0.291397,1,2.25891,1
0.430798,0.301169,1,2.25115,1
0.433233,0.310849,1,2.2434,1
0.435688,0.320606,1,2.23569,1
0.438165,0.330267,1,2.22799,1
0.440663,0.339964,1,2.22031,1
0.443183,0.349672,1,2.21263,1
0.445724,0.359344,1,2.20492,1
0.448288,0.369226,1,2.19713,1
0.450874,0.379228,1,2.18911,1
0.453485,0.389814,1,2.18072,1
0.456121,0.40112,1,2.17178,1
0.458786,0.413263,1,2.16223,1
0.46148,0.426271,1,2.15217,1
0.464207,0.439656,1,2.14174,1
0.466968,0.453527,1,2.13111,1
0.469764,0.467514,1,2.12034,1
0.472595,0.481756,1,2.10949,1
0.475463,0.496193,1,2.09858,1
0.478369,0.510689,1,2.08762,1
0.481313,0.525463,1,2.07666,1
0.484296,0.540139,1,2.0657,1
0.487319,0.555053,1,2.05481,1
0.490382,0.56978,1,2.044,1
0.493487,0.584529,1,2.03337,1
0.496631,0.598998,1,2.02299,1
0.499817,0.61306,1,2.01299,1
0.503042,0.626557,1,2.00355,1
0.506304,0.63889,1,1.9949,1
0.509601,0.649912,1,1.9874,1
0.512927,0.658593,1,1.98137,1
0.516275,0.66495,1,1.97708,1
0.519638,0.668408,1,1.97445,1
0.523009,0.670263,1,1.973,1
0.526384,0.671429,1,1.97192,1
0.529763,0.673413,1,1.97068,1
0.533149,0.675597,1,1.96941,1
0.536541,0.676576,1,1.96877,1
0.539932,0.675864,1,1.96898,1
0.543321,0.674821,1,1.96956,1
0.546707,0.673846,1,1.97024,1
0.55009,0.672786,1,1.97095,1
0.55347,0.671728,1,1.97167,1
0.556847,0.670756,1,1.97235,1
0.560221,0.669893,1,1.97296,1
0.563592,0.669155,1,1.97348,1
0.566961,0.668536,1,1.97393,1
0.570329,0.668033,1,1.9743,1
0.573695,0.667626,1,1.9746,1
0.57706,0.6673,1,1.97484,1
0.580424,0.667038,1,1.97503,1
0.583787,0.666831,1,1.97518,1
0.58715,0.666668,1,1.9753,1
0.590512,0.666538,1,1.9754,1
0.593874,0.666434,1,1.97548,1
0.597235,0.666348,1,1.97554,1
0.600596,0.666275,1,1.97559,1
0.603957,0.666214,1,1.97563,1
0.607318,0.666161,1,1.97567,1
0.610679,0.666117,1,1.9757,1
0.61404,0.666077,1,1.97573,1
0.6174,0.666041,1,1.97575,1
0.620761,0.666008,1,1.97577,1
0.624121,0.665979,1,1.9758,1
0.627481,0.665952,1,1.97581,1
0.630841,0.665928,1,1.97583,1
0.634201,0.665905,1,1.97584,1
0.637561,0.665884,1,1.97585,1
0.640921,0.665865,1,1.97587,1
0.644281,0.665846,1,1.97587,1
0.647641,0.66583,1,1.97588,1
0.651001,0.665814,1,1.97588,1
0.65436,0.665799,1,1.9759,1
0.65772,0.665786,1,1.97589,1
0.66108,0.665772,1,1.97591,1
0.664439,0.66576,1,1.9759,1
0.667799,0.665748,1,1.9759,1
0.671158,0.665738,1,1.97591,1
0.674518,0.665727,1,1.97588,1
0.677877,0.665718,1,1.97592,1
0.681236,0.665708,1,1.97582,1
0.684596,0.665699,1,1.97595,1
0.687955,0.665691,1,1.97578,1
0.691314,0.665683,1,1.97583,1
0.694673,0.665676,1,1.97588,1
0.698032,0.665668,1,1.97562,1
