x,y,vx,vy,rho,e,P
0.336,0.0517032,-1.22369e-06,-9.85434e-05,54.1438,2.5,54.1438
0.348,0.0516361,-1.37015e-06,-0.000944256,25.4214,2.5,25.4214
0.359998,0.0517086,-5.09213e-05,4.11203e-05,11.7058,2.5,11.7058
0.372003,0.0517037,5.18004e-05,-9.14694e-05,42.4331,2.5,42.4331
0.384,0.0517109,2.78903e-06,0.000264023,17.1502,2.5,17.1502
0.395999,0.0517025,-1.54054e-05,-0.000100673,1879.78,2.5,1879.78
0.408,0.0516653,1.63835e-06,-0.000389332,1148,2.5,1148
0.420001,0.051703,8.70344e-06,-0.000101961,0.713465,2.5,0.713465
0.432,0.0517056,1.01121e-06,0.000515119,6.06352,2.5,6.06352
0.44401,0.0516292,5.34449e-05,-0.000706335,1.49354,2.5,1.49354
0.455908,0.0516187,-0.00059099,-0.0012827,2.59764,2.5,2.59763
0.468093,0.0517035,0.000591017,-0.000105242,6.52165,2.5,6.52165
0.479999,0.0517042,-9.47082e-06,-0.000101823,6.50528,2.5,6.50528
0.492,0.0517979,2.66932e-06,0.000463795,14.3049,2.5,14.3049
0.504,0.0517034,2.0508e-06,-9.90833e-05,3.13643,2.5,3.13643
0.515998,0.0516919,-1.39304e-05,-0.000376326,111.546,2.5,111.546
0.528012,0.0517003,6.23052e-05,-0.00011003,6.28448,2.5,6.28448
0.539999,0.0517261,-6.41952e-06,1.69592e-05,1.82717,2.5,1.82717
0.552,0.051753,1.08993e-06,0.000613906,49.1643,2.5,49.1643
0.564001,0.0517214,4.78184e-06,-2.69851e-05,1.2561,2.5,1.2561
0.575983,0.0517261,-0.0001759,9.7792e-06,33.8866,2.5,33.8866
0.588015,0.0518023,0.000159641,0.000575309,135.067,2.5,135.067
0.600003,0.0516314,2.24905e-05,-0.00079425,58.4901,1.795,41.9958
0.66,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
0.72,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
0.78,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
0.84,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
0.9,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
0.96,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
1.02,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
1.08,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
1.14,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
1.2,0.0516274,0,-0.000117883,16.0145,1.795,11.4984
0.0119919,0.0621509,-4.78371e-05,0.000617509,3535.03,2.5,3535.03
0.0240007,0.0621576,4.03088e-06,1.43465e-05,1721.48,2.5,1721.48
0.0360001,0.0620242,1.43642e-06,-0.000542225,11.6397,2.5,11.6397
0.0479997,0.0620691,-2.40941e-06,-7.59098e-07,41.8034,2.5,41.8034
0.0599994,0.0620958,-7.35574e-06,0.000141197,6.9292,2.5,6.9292
0.0719991,0.061924,-1.08673e-05,-0.000836858,51.9237,2.5,51.9237
